role,table,op,expected,actual_outcome,actual_rows,actual_error,verdict,note
anon,insurance_policies,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,money_nonces,DELETE,DENY,ALLOWED,0,,PASS,
anon,money_nonces,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""money_nonces""",PASS,
anon,money_nonces,SELECT,DENY,ALLOWED,0,,PASS,
anon,money_nonces,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,DELETE,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nav_snapshots""",PASS,
anon,nav_snapshots,SELECT,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,DELETE,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nominee_claims""",PASS,
anon,nominee_claims,SELECT,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nominees,DELETE,DENY,ALLOWED,0,,PASS,
anon,nominees,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nominees""",PASS,
anon,nominees,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,nominees,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,notifications,DELETE,DENY,ALLOWED,0,,PASS,
anon,notifications,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""notifications""",PASS,
anon,notifications,SELECT,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,notifications,UPDATE,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,regions,DELETE,DENY,ALLOWED,0,,PASS,
anon,regions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""regions""",PASS,
anon,regions,SELECT,SCOPED,ALLOWED,4,,PASS,
anon,regions,UPDATE,DENY,ALLOWED,0,,PASS,
anon,settlement_batches,DELETE,DENY,ALLOWED,0,,PASS,
anon,settlement_batches,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""settlement_batches""",PASS,
anon,settlement_batches,SELECT,DENY,ERROR,,permission denied for function distributor_branch_ids,PASS,
anon,settlement_batches,UPDATE,DENY,ERROR,,permission denied for function distributor_branch_ids,PASS,
anon,settlement_uploads,DELETE,DENY,ALLOWED,0,,PASS,
anon,settlement_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""settlement_uploads""",PASS,
anon,settlement_uploads,SELECT,DENY,ALLOWED,0,,PASS,
anon,settlement_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
anon,subscriber_balances,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscriber_balances,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_balances""",PASS,
anon,subscriber_balances,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscriber_balances,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscriber_balances_pre_nav,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscriber_balances_pre_nav,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_balances_pre_nav""",PASS,
anon,subscriber_balances_pre_nav,SELECT,DENY,ALLOWED,0,,PASS,
anon,subscriber_balances_pre_nav,UPDATE,DENY,ALLOWED,0,,PASS,
anon,subscriber_insurance_products,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscriber_insurance_products,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_insurance_products""",PASS,
anon,subscriber_insurance_products,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscriber_insurance_products,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscriber_signup_uploads,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscriber_signup_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_signup_uploads""",PASS,
anon,subscriber_signup_uploads,SELECT,DENY,ALLOWED,0,,PASS,
anon,subscriber_signup_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
anon,subscribers,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscribers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscribers""",PASS,
anon,subscribers,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscribers,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,subscribers_unit_value_pre_nav,DELETE,DENY,ALLOWED,0,,PASS,
anon,subscribers_unit_value_pre_nav,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscribers_unit_value_pre_nav""",PASS,
anon,subscribers_unit_value_pre_nav,SELECT,DENY,ALLOWED,0,,PASS,
anon,subscribers_unit_value_pre_nav,UPDATE,DENY,ALLOWED,0,,PASS,
anon,transactions,DELETE,DENY,ALLOWED,0,,PASS,
anon,transactions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""transactions""",PASS,
anon,transactions,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,transactions,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,users,DELETE,DENY,ALLOWED,0,,PASS,
anon,users,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""users""",PASS,
anon,users,SELECT,DENY,ERROR,,permission denied for table users,PASS,
anon,users,UPDATE,DENY,ERROR,,permission denied for table users,PASS,
anon,withdrawals,DELETE,DENY,ALLOWED,0,,PASS,
anon,withdrawals,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""withdrawals""",PASS,
anon,withdrawals,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,withdrawals,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
subscriber,access_requests,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,access_requests,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""access_requests""",PASS,
subscriber,access_requests,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,access_requests,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,agent_referrals,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,agent_referrals,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agent_referrals""",PASS,
subscriber,agent_referrals,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,agent_referrals,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,agents,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,agents,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agents""",PASS,
subscriber,agents,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,agents,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,branches,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,branches,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""branches""",PASS,
subscriber,branches,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,branches,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,claims,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""claims""",PASS,
subscriber,claims,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,claims,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,commission_config,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,commission_config,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commission_config""",PASS,
subscriber,commission_config,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,commission_config,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,commissions,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,commissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commissions""",PASS,
subscriber,commissions,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,commissions,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,contact_submissions,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,contact_submissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contact_submissions""",PASS,
subscriber,contact_submissions,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,contact_submissions,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_run_uploads,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_run_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_run_uploads""",PASS,
subscriber,contribution_run_uploads,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,contribution_run_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_runs,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_runs,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_runs""",PASS,
subscriber,contribution_runs,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,contribution_runs,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_schedules,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,contribution_schedules,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_schedules""",PASS,
subscriber,contribution_schedules,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,contribution_schedules,UPDATE,DENY,ALLOWED,1,,FAIL,
subscriber,custody_transfers,DELETE,DENY,ALLOWED,0,,PASS,
