oid,proname,prosecdef,proconfig,args,lanname,anon_exec,auth_exec
21782,set_employer_status,t,"search_path=public, pg_temp","p_employer_id text, p_status text",plpgsql,f,t
19679,submit_employer_contribution_run,t,"search_path=public, pg_temp","p_period_label text, p_method text, p_nonce text",plpgsql,f,t
29413,submit_hospital_cash_claim,t,"search_path=public, pg_temp","p_nonce text, p_admission_date date, p_discharge_date date, p_provider text, p_description text",plpgsql,f,t
29335,subscriber_agent_id,t,"search_path=public, pg_temp","",sql,f,t
29337,subscriber_branch_id,t,"search_path=public, pg_temp","",sql,f,t
26123,trg_branches_default_distributor,t,"search_path=public, pg_temp","",plpgsql,t,t
18682,trg_distributors_enforce_editable_cols,f,"search_path=public, pg_temp","",plpgsql,t,t
17996,trg_subscribers_after_insert,t,"search_path=public, pg_temp","",plpgsql,t,t
18109,trg_subscribers_enforce_editable_cols,f,"search_path=public, pg_temp","",plpgsql,t,t
17998,trg_transactions_contribution,t,"search_path=public, pg_temp","",plpgsql,t,t
18000,trg_transactions_withdrawal,t,"search_path=public, pg_temp","",plpgsql,t,t
21824,update_employer_member_compensation,t,"search_path=public, pg_temp","p_subscriber_id text, p_compensation numeric",plpgsql,f,t
24885,update_employer_profile,t,"search_path=public, pg_temp","p_patch jsonb, p_group_cover numeric, p_insurance_enabled boolean",plpgsql,f,t
18408,upsert_nominees,t,"search_path=public, pg_temp","p_subscriber_id text, p_pension jsonb, p_insurance jsonb",plpgsql,f,t
